Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$126.60 ,-4.41,-3.37%,2.19491E+12,United States,1980,154607936,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$466.31 ,-19.38,-3.99%,2.23698E+11,United States,1986,4154259,Technology,Computer Software: Prepackaged Software
BLKB,Blackbaud Inc. Common Stock,$59.68 ,1.6,2.76%,2958239964,United States,2004,541053,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$44.00 ,1.2,2.80%,11949519032,United States,2020,341480,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock,$44.40 ,0.42,0.96%,1.87613E+11,United States,1990,21815974,Technology,Computer Communications Equipment
DDOG,Datadog Inc. Class A Common Stock,$91.33 ,-1.7,-1.83%,27812939434,United States,2019,3537773,Technology,Computer Software: Prepackaged Software
DOCU,DocuSign Inc. Common Stock,$223.85 ,-4.65,-2.04%,41760766094,United States,2018,2887217,Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited Ordinary Shares,$69.34 ,-0.17,-0.25%,9091180020,Guernsey,,958507,Technology,EDP Services
EA,Electronic Arts Inc. Common Stock,$136.80 ,-4.52,-3.20%,39652045531,United States,,2398499,Technology,Computer Software: Prepackaged Software
ERIC,Ericsson American Depositary Shares,$12.15 ,-0.05,-0.41%,40435200000,Sweden,,5166901,Technology,Radio And Television Broadcasting And Communications Equipment
FB,Facebook Inc. Class A Common Stock,$263.31 ,-7.66,-2.83%,7.49984E+11,United States,2012,24328171,Technology,Computer Software: Programming Data Processing
FORM,FormFactor Inc. FormFactor Inc. Common Stock,$43.73 ,0.54,1.25%,3384177109,United States,2003,575335,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$138.11 ,-3.63,-2.56%,22419682878,United States,2009,1306222,Technology,Computer peripheral equipment
GDRX,GoodRx Holdings Inc. Class A Common Stock,$40.59 ,-0.1,-0.25%,15885188626,United States,2020,1987765,Technology,EDP Services
GDS,GDS Holdings Limited ADS,$97.15 ,-1.41,-1.43%,18157081827,China,2016,1002790,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,"$1,735.29 ",-5.63,-0.32%,1.1738E+12,United States,2004,2601318,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,"$1,722.88 ",-17.17,-0.99%,1.1654E+12,United States,,2328306,Technology,Computer Software: Programming Data Processing
INOV,Inovalon Holdings Inc. Class A Common Stock,$19.58 ,0.82,4.37%,3042727183,United States,2015,640401,Technology,EDP Services
INTC,Intel Corporation Common Stock,$51.10 ,0.49,0.97%,2.09408E+11,United States,,36790465,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$361.00 ,-7.87,-2.13%,98930542103,United States,1993,1537613,Technology,Computer Software: Prepackaged Software
IPGP,IPG Photonics Corporation Common Stock,$224.39 ,3.94,1.79%,11960135097,United States,2006,338061,Technology,Semiconductors
MCFE,McAfee Corp. Class A Common Stock,$16.88 ,-0.4,-2.32%,7163705175,United States,2020,774213,Technology,Computer Software: Prepackaged Software
MDB,MongoDB Inc. Class A Common Stock,$335.30 ,-20.26,-5.70%,20207296425,United States,2017,1082858,Technology,Computer Software: Prepackaged Software
MSFT,Microsoft Corporation Common Stock,$212.25 ,-5.65,-2.59%,1.60472E+12,United States,1986,35883460,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$65.23 ,0.06,0.09%,14571392918,United States,1995,2406416,Technology,Electronic Components
NTNX,Nutanix Inc. Class A Common Stock,$30.04 ,-1.06,-3.41%,6054482785,United States,2016,3252409,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$504.58 ,-31.61,-5.90%,3.12335E+11,United States,1999,14474896,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$239.72 ,-9.83,-3.94%,31035609177,United States,2017,1771838,Technology,Computer Software: Prepackaged Software
PFPT,Proofpoint Inc. Common Stock,$131.48 ,-1.6,-1.20%,7587480973,United States,2012,654879,Technology,EDP Services
PS,Pluralsight Inc. Class A Common Stock,$20.82 ,-0.09,-0.43%,3069472675,United States,2018,3408818,Technology,Computer Software: Programming Data Processing
QCOM,QUALCOMM Incorporated Common Stock,$151.19 ,-1.24,-0.81%,1.70996E+11,United States,1991,7169924,Technology,Radio And Television Broadcasting And Communications Equipment
STX,Seagate Technology PLC Ordinary Shares (Ireland),$59.87 ,-0.29,-0.48%,15382533867,Ireland,2002,3192451,Technology,Electronic Components
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$224.48 ,-9.94,-4.24%,55940859124,United Kingdom,2015,1601803,Technology,Computer Software: Prepackaged Software
TRIP,TripAdvisor Inc. Common Stock,$31.39 ,1.57,5.27%,4222753844,United States,,4059470,Technology,Computer Software: Programming Data Processing
TXN,Texas Instruments Incorporated Common Stock,$164.22 ,0.81,0.50%,1.50744E+11,United States,,5254395,Technology,Semiconductors
